Last Name,First Name,Title,Salary,Representational Activities,Political Activities and Lobbying,Contributions,General Overhead,Administration
ADAMS,LSCOTT,REGIONAL  DIRECT OR,153301,94,0,0,0,6
ASHTON,JOSEPH,VICE PRESIDENT,152870,95,5,0,0,0
CASTEEL,GARY,REGIONAL  DIRECT OR,146431,98,0,0,0,2
ESTRADA,CYNTHIA,VICE PRESIDENT,156078,93,5,0,1,1
GAMBLE,RORY,REGIONAL  DIRECT OR,143274,99,1,0,0,0
HALL,CHARLES,REGIONAL  DIRECT OR,142666,97,2,0,0,1
HOLIEFIELD,GENERAL,VICE PRESIDENT,157854,100,0,0,0,0
JEWELL,NORWOOD,REGIONAL  DIRECT OR,149045,90,10,0,0,0
JONES,GARY,REGIONAL  DIRECT OR,149534,92,6,0,0,2
KARIEM,GERALD,REGIONAL  DIRECT OR,146535,95,4,0,1,0
KING,ROBERT,PRESIDENT,176392,86,11,0,0,3
KUSHNER,JULIE,REGIONAL  DIRECT OR,145684,98,2,0,0,0
LORTZ,KENNETH,REGIONAL  DIRECT OR,145734,97,2,0,0,1
MCINROY,RONALD,REGIONAL  DIRECT OR,149865,98,2,0,0,0
SETTLES,JAMES,VICE PRESIDENT,156028,95,0,0,0,5
WELLS,JAMES,REGIONAL  DIRECT OR,526,94,6,0,0,0
WILLIAMS,DENNIS,SECRET ARY TREASURER,166834,90,5,0,0,5
